timestamp,cpu,ram,disco,qtd_processos,mac
2025-10-13 18:21:10,6.2,82.4,38.2,342,154724027927939
Dado_perdido,6.0,82.4,38.2,342,154724027927939
2025-10-13 18:21:24,6.7,0.0,38.2,341,154724027927939
2025-10-13 18:21:31,6.3,82.2,0.0,340,154724027927939
2025-10-13 18:21:38,6.1,81.7,38.2,340,154724027927939
2025-10-13 18:21:46,5.2,81.8,38.2,340,154724027927939
2025-10-13 18:21:53,0.0,81.9,38.2,0,154724027927939
2025-10-13 18:22:00,6.8,81.8,38.2,340,154724027927939
2025-10-13 18:22:07,7.3,81.8,38.2,0,154724027927939
2025-10-13 18:22:14,6.3,81.8,38.2,340,154724027927939
2025-10-13 18:22:21,6.8,81.8,38.2,340,154724027927939
2025-10-13 18:22:28,5.0,81.8,38.2,340,154724027927939
2025-10-13 18:22:35,4.9,81.8,38.2,339,154724027927939
2025-10-13 18:22:43,4.7,81.8,38.2,339,154724027927939
2025-10-13 18:22:50,6.1,81.7,38.2,338,154724027927939
2025-10-13 18:22:57,5.4,81.7,38.2,338,154724027927939
Dado_perdido,4.0,81.6,38.2,338,154724027927939
2025-10-13 18:23:11,6.8,81.9,38.2,337,154724027927939
2025-10-13 18:23:19,14.4,81.7,
